Filepath	C:\Chromel\data\HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ\UV_VIS_1.CHL\21.acd
Channel	UV_VIS_1

Sample Information:
Datasource	BCI-BPT-PC19_local
Sequence	HPLC\2_Data\ISA\Daten\20230131 Nr.23-25.SEQ
Sample	A 1,5 mM
Sample Number	32
Sample Position	RD4
Sample ID	21
Comment	
QNT method	20211221_neue Methode 1mAUmin
PGM file	20230109_isokratisch_Methode_49Min
Type	standard
Status	finished
Date	02.02.2023
Time	17:04:32
Injection Volume (µl)	10,00
Dilution Factor	1,000000
Amount	1,000000
Weight	1,000000

Raw Data Header Information:
Time Min. (min)	0,000
Time Max. (min)	44,000
Raw-Time Min. (min)	0,000
Raw-Time Max. (min)	44,000
Data Points	26401
Detector	VWD3000.dll
Preferred Read Mode	Unknown
Write Mode	Unknown
Data System	Chromeleon
Version High	06
Version Low	80
Build No.	3160
File Format Version	11
Generation Type	8
File ID	239054205
File Status	16
GUID	d6e74f56-a312-11ed-b769-e454e899b46a
Signal Factor	0,000010
Signal Dimension	mAU
Signal Unit	Absorbance
Signal Min.	-2,88614
Signal Max.	816,858800
Channel Name	UV_VIS_1
Driver Name	VWD-3x00(RS) Detector
Min. Step	10
Max. Step	10
Average Step	10

Signal Parameter Information:
Signal Info	WVL:254 nm
Wavelength	254 nm
	 




















Raw Data:
Time(min)	Step(sec)	Value(mAU)
0,353333	0,10	0,075850	
0,355000	0,10	0,075790	
0,356667	0,10	0,074880	
0,358333	0,10	0,074380	
0,360000	0,10	0,074240	
0,361667	0,10	0,073860	
0,363333	0,10	0,074060	
0,365000	0,10	0,073560	
0,366667	0,10	0,073280	
0,368333	0,10	0,074270	
0,370000	0,10	0,074990	
0,371667	0,10	0,074660	
0,373333	0,10	0,074940	
0,375000	0,10	0,074620	
0,376667	0,10	0,074820	
0,378333	0,10	0,075430	
0,380000	0,10	0,074560	
0,381667	0,10	0,075120	
0,383333	0,10	0,075810	
0,385000	0,10	0,075480	
0,386667	0,10	0,075200	
0,388333	0,10	0,075450	
0,390000	0,10	0,075440	
0,391667	0,10	0,076660	
0,393333	0,10	0,077380	
0,395000	0,10	0,076790	
0,396667	0,10	0,076330	
0,398333	0,10	0,076180	
0,400000	0,10	0,076490	
0,401667	0,10	0,076270	
0,403333	0,10	0,076230	
0,405000	0,10	0,076510	
0,406667	0,10	0,075980	
0,408333	0,10	0,076120	
0,410000	0,10	0,076260	
0,411667	0,10	0,075970	
0,413333	0,10	0,076230	
0,415000	0,10	0,076690	
0,416667	0,10	0,076280	
0,418333	0,10	0,075470	
0,420000	0,10	0,075160	
0,421667	0,10	0,075190	
0,423333	0,10	0,075020	
0,425000	0,10	0,075490	
0,426667	0,10	0,075150	
0,428333	0,10	0,075950	
0,430000	0,10	0,076350	
0,431667	0,10	0,076200	
0,433333	0,10	0,076380	
0,435000	0,10	0,075880	
0,436667	0,10	0,074620	
0,438333	0,10	0,075230	
0,440000	0,10	0,075220	
0,441667	0,10	0,075670	
0,443333	0,10	0,076190	
0,445000	0,10	0,076120	
0,446667	0,10	0,074890	
0,448333	0,10	0,073860	
0,450000	0,10	0,074120	
0,451667	0,10	0,074030	
0,453333	0,10	0,074580	
0,455000	0,10	0,075840	
0,456667	0,10	0,075500	
0,458333	0,10	0,074850	
0,460000	0,10	0,074550	
0,461667	0,10	0,074890	
0,463333	0,10	0,074860	
0,465000	0,10	0,073840	
0,466667	0,10	0,073870	
0,468333	0,10	0,073740	
0,470000	0,10	0,074520	
0,471667	0,10	0,075290	
0,473333	0,10	0,075730	
0,475000	0,10	0,076300	
0,476667	0,10	0,075920	
0,478333	0,10	0,075570	
0,480000	0,10	0,075820	
0,481667	0,10	0,075560	
0,483333	0,10	0,076310	
0,485000	0,10	0,076400	
0,486667	0,10	0,076680	
0,488333	0,10	0,076920	
0,490000	0,10	0,077320	
0,491667	0,10	0,078200	
0,493333	0,10	0,078640	
0,495000	0,10	0,078970	
0,496667	0,10	0,078850	
0,498333	0,10	0,077420	
0,500000	0,10	0,076950	
0,501667	0,10	0,077360	
0,503333	0,10	0,077690	
0,505000	0,10	0,077260	
0,506667	0,10	0,076640	
0,508333	0,10	0,077180	
0,510000	0,10	0,077480	
0,511667	0,10	0,077560	
0,513333	0,10	0,077990	
0,515000	0,10	0,078790	
0,516667	0,10	0,078630	
0,518333	0,10	0,078160	
0,520000	0,10	0,077370	
0,521667	0,10	0,077070	
0,523333	0,10	0,077810	
0,525000	0,10	0,077670	
0,526667	0,10	0,078020	
0,528333	0,10	0,078070	
0,530000	0,10	0,078050	
0,531667	0,10	0,079230	
0,533333	0,10	0,079910	
0,535000	0,10	0,080220	
0,536667	0,10	0,079970	
0,538333	0,10	0,079420	
0,540000	0,10	0,079430	
0,541667	0,10	0,078840	
0,543333	0,10	0,078860	
0,545000	0,10	0,079720	
0,546667	0,10	0,079860	
0,548333	0,10	0,079860	
0,550000	0,10	0,080330	
0,551667	0,10	0,079710	
0,553333	0,10	0,079700	
0,555000	0,10	0,080930	
0,556667	0,10	0,082090	
0,558333	0,10	0,082260	
0,560000	0,10	0,081940	
0,561667	0,10	0,082650	
0,563333	0,10	0,081930	
0,565000	0,10	0,081810	
0,566667	0,10	0,082320	
0,568333	0,10	0,081320	
0,570000	0,10	0,080460	
0,571667	0,10	0,080180	
0,573333	0,10	0,079870	
0,575000	0,10	0,080550	
0,576667	0,10	0,081220	
0,578333	0,10	0,081070	
0,580000	0,10	0,080300	
0,581667	0,10	0,079420	
0,583333	0,10	0,079220	
0,585000	0,10	0,078970	
0,586667	0,10	0,079370	
0,588333	0,10	0,079580	
0,590000	0,10	0,078710	
0,591667	0,10	0,078920	
0,593333	0,10	0,079930	
0,595000	0,10	0,080350	
0,596667	0,10	0,079740	
0,598333	0,10	0,079610	
0,600000	0,10	0,079460	
0,601667	0,10	0,079920	
0,603333	0,10	0,080480	
0,605000	0,10	0,081880	
0,606667	0,10	0,082060	
0,608333	0,10	0,081390	
0,610000	0,10	0,080970	
0,611667	0,10	0,081050	
0,613333	0,10	0,080960	
0,615000	0,10	0,079870	
0,616667	0,10	0,079400	
0,618333	0,10	0,078720	
0,620000	0,10	0,079010	
0,621667	0,10	0,079040	
0,623333	0,10	0,078400	
0,625000	0,10	0,078710	
0,626667	0,10	0,079740	
0,628333	0,10	0,080670	
0,630000	0,10	0,081190	
0,631667	0,10	0,080460	
0,633333	0,10	0,080140	
0,635000	0,10	0,079860	
0,636667	0,10	0,080620	
0,638333	0,10	0,081280	
0,640000	0,10	0,082080	
0,641667	0,10	0,082770	
0,643333	0,10	0,082480	
0,645000	0,10	0,081520	
0,646667	0,10	0,081340	
0,648333	0,10	0,081430	
0,650000	0,10	0,081420	
0,651667	0,10	0,080930	
0,653333	0,10	0,079810	
0,655000	0,10	0,079970	
0,656667	0,10	0,080710	
0,658333	0,10	0,079480	
0,660000	0,10	0,078950	
0,661667	0,10	0,078900	
0,663333	0,10	0,078910	
0,665000	0,10	0,079390	
0,666667	0,10	0,079530	
0,668333	0,10	0,079000	
0,670000	0,10	0,079120	
0,671667	0,10	0,079080	
0,673333	0,10	0,079290	
0,675000	0,10	0,078330	
0,676667	0,10	0,078430	
0,678333	0,10	0,079030	
0,680000	0,10	0,079630	
0,681667	0,10	0,079870	
0,683333	0,10	0,079780	
0,685000	0,10	0,080490	
0,686667	0,10	0,080180	
0,688333	0,10	0,080230	
0,690000	0,10	0,081110	
0,691667	0,10	0,081930	
0,693333	0,10	0,081930	
0,695000	0,10	0,081460	
0,696667	0,10	0,081180	
0,698333	0,10	0,081540	
0,700000	0,10	0,082060	
0,701667	0,10	0,083350	
0,703333	0,10	0,084080	
0,705000	0,10	0,084290	
0,706667	0,10	0,084220	
0,708333	0,10	0,083990	
0,710000	0,10	0,084390	
0,711667	0,10	0,085550	
0,713333	0,10	0,086710	
0,715000	0,10	0,085710	
0,716667	0,10	0,084720	
0,718333	0,10	0,084090	
0,720000	0,10	0,084820	
0,721667	0,10	0,084700	
0,723333	0,10	0,084850	
0,725000	0,10	0,085550	
0,726667	0,10	0,085130	
0,728333	0,10	0,084260	
0,730000	0,10	0,084270	
0,731667	0,10	0,083560	
0,733333	0,10	0,082890	
0,735000	0,10	0,083180	
0,736667	0,10	0,083680	
0,738333	0,10	0,083690	
0,740000	0,10	0,084690	
0,741667	0,10	0,084640	
0,743333	0,10	0,084360	
0,745000	0,10	0,084550	
0,746667	0,10	0,084590	
0,748333	0,10	0,084860	
0,750000	0,10	0,085250	
0,751667	0,10	0,086120	
0,753333	0,10	0,085330	
0,755000	0,10	0,083500	
0,756667	0,10	0,083790	
0,758333	0,10	0,083850	
0,760000	0,10	0,084790	
0,761667	0,10	0,084710	
0,763333	0,10	0,084820	
0,765000	0,10	0,084900	
0,766667	0,10	0,084890	
0,768333	0,10	0,084850	
0,770000	0,10	0,083830	
0,771667	0,10	0,083280	
0,773333	0,10	0,083260	
0,775000	0,10	0,083240	
0,776667	0,10	0,084070	
0,778333	0,10	0,084180	
0,780000	0,10	0,083730	
0,781667	0,10	0,083690	
0,783333	0,10	0,083830	
0,785000	0,10	0,084370	
0,786667	0,10	0,085050	
0,788333	0,10	0,085020	
0,790000	0,10	0,085600	
0,791667	0,10	0,085820	
0,793333	0,10	0,086440	
0,795000	0,10	0,086770	
0,796667	0,10	0,086100	
0,798333	0,10	0,084930	
0,800000	0,10	0,084840	
0,801667	0,10	0,085290	
0,803333	0,10	0,086380	
0,805000	0,10	0,086560	
0,806667	0,10	0,086870	
0,808333	0,10	0,087070	
0,810000	0,10	0,087330	
0,811667	0,10	0,087760	
0,813333	0,10	0,088370	
0,815000	0,10	0,089020	
0,816667	0,10	0,089590	
0,818333	0,10	0,090240	
0,820000	0,10	0,090900	
0,821667	0,10	0,089630	
0,823333	0,10	0,090120	
0,825000	0,10	0,089500	
0,826667	0,10	0,089280	
0,828333	0,10	0,089740	
0,830000	0,10	0,090010	
